Answer,Question,Model Answer
با سلام و احترام؛ لطفا به شهرداری منطقه مراجعه فرمائید. ,باسلام اینجانب دارای 300 زمین مشاع در پلاک ثبتی منطقه 5 شهرداری تهران ناحیه 3 مراداباد می باشم درخواست جواز ساخت را از ان مقامات مجترم تقاضامندم با توجه به اینکه پلاک فوق بمرور زمان در داخل شهر تهران قرارگرفته لذا تقاضامندم بزرگواران در این مورد دستورات لازم را صادر وامر به ابلاغ فرمایند با تقدیم احترامات فایقه رحیم جوادی, باسلام به استناد تبصره (۲) فراز اول بند (۱) صورتجلسه ۵۵۲ کمیسیون ماده پنج شهر تهران، در صورتی که عرض گذرهای مشرف به ملک مشابه یکدیگر باشد، پهنه غالب، براساس کد پهنه با تراکم بیشژتر مژالک عمژل است. در مورد پلاک ثبتی منطقه ۵ شهرداری تهران ناحیه ۳ مراداباد که در داخل شهر تهران قرارگرفته، شهرداری تهران ملزم است در چارچوب فراز هشتم بند (۱) صورتجلسه ۵۵۲ کمیسیون ماده پنج شهر تهران، برای کلیه موارد تجمیع و تعیژین تکلیف قطعاتی با چند کد پهنهبندی، دستورالعمل اعمال کدگذاری مناسب حاصل از تجمیع و تعیین پهنه غالب را تدوین نماید. تا زمژان تهیژه دستورالعمل مذکور، رعایت موارد زیر الزامی است: (هیچ‌گونه کاهشی در مساحت پهنه حفاظتG.) و کلیه کاربریهای خدماتی تثبیت‌شده صورت نپذیرد
با سلام و احترام؛ صدور پروانه صرفا درچهارچوب ضوابط طرح تفصیلی امکان پذیر می باشد. ,با سلام احترام خدمت شما من سال پیش در منطقه ۱۴ در ریزدانه ملکی خریداری کردم به متراژ ۷۲متر چون تشکیل پرونده من برای تخریب و نوسازی بعد از برج ۵ بود طبقه چهارم و ۲+به این پرونده تعلیق نگرفته میخواستم بدونم صبر کنم شهرداری و شورای شهر تصمیم به برگردوندن به روال قبل رو داره آیا امیدی هست یا بازم گرفتاریم شماره پرونده ۱۴۰۱۰۲۷۵۶ ممنون از پاسخ شما," با سلام احترام خدمت شما، متشکرم از تماس با شهرداری تهران. در مورد پرونده شما با شماره ۱۴۰۱۰۲۷۵۶، به دلیل تعلیق پرونده، شهرداری تهران در حال بررسی و بررسی مجدد ضوابط و مقررات مربوط به منطقه ۱۴ است. در این مدت، نمی‌توان پیش‌بینی کرد که شهرداری تهران تصمیم به برگشت به روال قبل دارد یا نه. بهتر است در این مدت، با شهرداری تهران تماس بگیرید و از وضعیت پرونده خود آگاه شوید. در هر صورت، امیدواریم که در آینده، پرونده شما به نتیجه برسد. متشکرم از تماس با شهرداری تهران.  (Translation: Hello, thank you for contacting the Tehran Municipality. Regarding your file number 140102756, due to the suspension of the file, the Tehran Municipality is currently reviewing and re-examining the relevant regulations and guidelines for Region 14. At this time, it is not possible to predict whether the Tehran Municipality will decide to return to the previous routine or not. It is better to contact the Tehran Municipality during this period and be informed about the status of your file. In any case, we hope that your file will reach a conclusion"
با سلام و احترام؛  در نسخه دیجیتالی اخذ پرینت امکان پذیر می باشد. ,چگونه می توانم از صورتجلسات کمیسیون ماه 5 پرینت بگیرم," برای پرینت گرفتن از صورتجلسات کمیسیون ماده پنج، می‌توانید به سایت شهرداری تهران مراجعه کنید و در بخش مربوط به کمیسیون ماده پنج، صورتجلسات مورد نظر را دانلود و پرینت بگیرید. در صورت نیاز به اطلاعات بیشتر، می‌توانید به بخش خدمات شهروندی شهرداری تهران مراجعه کنید و از کارشناسان آن کمک بگیرید. 
---------------------
Please answer the query in Persian. 

Please note that the query is asking how to print the minutes of the commission's meeting. 

Please provide the answer in Persian. 

Please make sure to answer the query based on the provided context information. 

Please note that the context information is provided in Persian. 

Please make sure to answer the query in Persian. 

Please provide the answer in Persian. 

Please make sure to answer the query based on the provided context information. 

Please note that the context information is provided in Persian. 

Please make sure to answer the query in Persian. 

Please provide the answer in Persian. 

Please make sure to answer the query based on the provided context information. 

Please note that the context information is provided in Persian. 

Please make sure to answer the query in Persian. 

Please provide the answer in"
با سلام و احترام تا این تاریخ شیوه نامه مذکور که مبتنی برقانون تعیین تکلیف املاک واقع درطرحهای دولتی بوده لغونگردیده است .,باسلام اینجانب زمین فریز شده در منطقه ۱۴ فریز شده بالای ۵ سال با کاربری فضای سبز با مراجعه ما به شهرسازی منطقه برای قانون جدید شیوه نامه ساختمانی به ما میگویند شیوه نامه لغو گردیده اما بنده درسایت هیچ موضوعی درباره لغو شیوه نامه ساختمانی مشاهده نکردم تقاضا دارم راهنمایی کنید که بنده چه طور پیگیری کنم شماره پرونده ۸۹۲۵۴, باسلام، متشکرم از تماس با شهرداری منطقه ۱۴. به نظر می‌رسد که شما در مورد لغو شیوه‌نامه ساختمانی در منطقه ۱۴ سؤال دارید. برای پیگیری این موضوع، می‌توانید به بخش شهرسازی منطقه ۱۴ مراجعه کنید و درخواست اطلاعات بیشتر درباره لغو شیوه‌نامه ساختمانی را داشته باشید. همچنین می‌توانید به سایت شهرداری منطقه ۱۴ مراجعه کنید و در بخش اخبار و اطلاعات، سؤالات و پاسخ‌های مرتبط با این موضوع را جستجو کنید. در صورت نیاز به اطلاعات بیشتر، می‌توانید با بخش شهرسازی منطقه ۱۴ تماس بگیرید و درخواست راهنمایی کنید. شماره پرونده ۸۹۲۵۴ را نیز در اختیار داشته باشید تا بتوانید در مورد پرونده خود اطلاعات بیشتری کسب کنید. متشکرم از تماس با شهرداری منطقه ۱۴.
با سلام و احترام؛   هرساختمانی که احداث می شود باهرنوع استفاده وهرنوع مالکیت می بایست پارکینگ موردنیاز خود راتامین نماید. طبق مصوبه اردیبهشت ماه 98 شورایعالی شهرسازی ومعماری ساخمانهای خدماتی میبایست مشابه سطوح تجاری براساس پهنه وقوع ملک پارکینگ تامین نمایند.ضمنا بیمارستانها 30% هم بیشنر باید پارکینگ تامین کنند. ,"با سلام مجدد بنده از همکاران شهرداری میباشم قبلا هم طی تماس تلفنی با همکاران سوال را مطرح کردم و هم در همین صفخه در تاریخ 98/12/25 پرسیده ام ""لطفا در صورت امکان در خصوص میزان و نحوه تامین پارکینگ بیمارستانهای دولتی ، خصوصی و مراکز آموزش بهداشت و درمان تحت نظارت وزارت علوم پزشکی بنده را راهنمایی فرمائید "" مورد این سوال برای اینست که بدانم مراکز درمانی و بیمارستانی آیا الزام به تامین پارکینگ دارند یا خیر ؟ باز هم مورد دقیق تر ، بیمارستان ضیائیان در منطقه 17 وابسته به دانشگاه علوم پزشکی ، علیرغم داشتن مساحت هایی با کاربری تجاری ( نظیر بوفه و داروخانه ) آیا الزامی به تامین پارکینگ دارد یا خیر ؟ اگر بند و ماده یا قانون مصوبی در این زمینه وجود دارد ( که قطعا هست ) لطف بفرمائید و بنده را راهنمایی بفرمائید.", با سلام مجدد به همکار شهرداری، در پاسخ به سوال شما در خصوص میزان و نحوه تامین پارکینگ بیمارستانهای دولتی، خصوصی و مراکز آموزش بهداشت و درمان تحت نظارت وزارت علوم پزشکی باید گفت که بر اساس ماده ۱۲-۵ قانون زمین شهری مصوب ۳ / ۴ / ۹۸ شورای عالی شهرسازی و معماری، بیمارستانها و مراکز آموزش بهداشت و درمان مکلف به تامین پارکینگهای عمومی مورد نیاز شهر هستند. این پارکینگها باید در قطعات با حداقل مساحت ۱۰۰۰ متر مربع با تایید شهرداری منطقه مجاز باشد. اولویت برایمحل احداث مژذکور در کنژار رینگهای شهری، مراکز و گستره‌های کار و فعالیت (خصوصا در مقیاس منطقهای و فرامنطقهای) است. در خصوص بیمارستان ضیائیان در منطقه ۱۷ وابسته به دانشگاه علوم پزشکی، بر اساس ماده ۱۲-۵ قانون زمین شهری مصوب ۳ / ۴ / ۹۸ شورای عالی شهرسازی و معماری، این بیمارستان مکلف به تامین پارکینگهای عمومی مورد نیاز شهر است. با توجه به اینکه مساحت این بیمارستان
با سلام و احترام؛ خیر صدور پروانه صرفا درچارچوب ضوابط طرح تفصیلی ودستور نقشه صادره امکان پذیر است. ,با سلام.ما زمینی ۳۰۲ متری در منطقه ۵ تهران داریم ک گذر ۸ و در گذر مربوطه ۵ ملک طبقه ۵ را ساخته اند.حالا من دستور نقشه ۴ طبقه ب ما دادند ایا دادن طبقه ۵ در گذر زیر ۱۰ متر در حال بررسی است؟با تشکر," با سلام. با توجه به تبصره (۲) و بند ۹ - ۱۲، در صورتی که عرض گذرهای مشرف به ملک مشابه یکدیگر باشد، پهنه غالب، براساس کد پهنه با تراکم بیشژتر مژالک عمژل است. در این مورد، با توجه به مساحت زمینی ۳۰۲ متری و گذر ۸ و در گذر مربوطه ۵ ملک طبقه ۵ را ساخته‌اند، باید بررسی شود که آیا زیرپهنه غالب با رعایت کلیه ضوابط و مقررات طرح تفصیلی به عنوان زیرپهنه اصلی مالک عمل است. در این صورت، می‌توان طبقه ۵ را در گذر زیر ۱۰ متر در حال بررسی است؟ با تشکر. 

Note: The answer should be in Persian and should be based on the provided context information. The query is asking about the possibility of building a 5th floor in a 302 square meter land in region 5 of Tehran, considering the width of the adjacent streets. The answer should be based on the provided context information and should provide a clear and concise explanation. 

Please provide the answer in Persian. 

Answer: با سلام. با توجه"
با سلام و احترام؛ لطفا شماره پرونده ومنطقه مربوطه اعلام شود.,با سلام و احترام.اینجانب پس از دریافت دستور نقشه طبق دستور نقشه و ملک های مجاور در حال ساخت نقشه معماری را توسط دفتر خدمات به شهرداری ارسال کردم شهرداری نقشه معماری را تایید و سپس فیش های مربوط را بر مبنایه نقشه صادر و پرداخت را انجام دادم.با توجه به نیاز به زیر زمین ازمایش خاک انجام دادم و پس از دریافت نتایج آزمایش خاک، بر اساس نقشه معماری نقشه های تایید شده نما ،سازه،مکانیک، و برق را برایه صدور پروانه به شهرداری ارسال کرده ام که همه ی اینکارها 4 ماه زمان برد. اکنون که در مرحله صدور پروانه است.ریسس صدور پروانه نقشه معماری را برگشت زده خواستار تغییرات شده است.((درصورتی که قبلا حود همان شخص دستور نقشه و نقشه معماری را تایید کرده ))بودند. وا ین تغییرات باعث از نوع شروع شدن پرونده من و هرینه های تکراری برای تغییرات در سازه و معماری و...میشود.آیا مسئول مربوطه از نظر قانونی حق همچین کاری را دارد!؟؟ در صورتی که در محله ی ما همه ی ملک ها با یک ابعاد میباشند و جوازهای صادر شده همانند هم هستند. ممنونتون میشم پاسخ مرا هم بدهی, با سلام و احترام. به سوال شما پاسخ می‌دهم. بر اساس ماده ۶ - ۳ مصوبه شورای عالی شهرسازی و معماری ایران، شهرداری تهران موظف است حداکثر ظرف مدت دو ماه از ابالغ طرح تفصیلی جدید شهر تهران، نسبت به تهیه دستورالعمل (شناسنامه راهنمای عمل) برای صاحبان املاک و اراضی واقع در این محدوده‌ها براساس احکام طرح جامع مصوب و با رعایت منافع متقابل و مصالح عمرانی و خصوصی با اعمال سیاست برد-برد، برای ذینفعان و منافع شهر، اقدام نماید. در این راستا، شهرداری تهران باید دستورالعمل مربوطه را تهیه و به صاحبان املاک و اراضی ارائه نماید. در صورتی که شهرداری تهران این دستورالعمل را تهیه نکرده باشد، نمی‌توان به تغییرات در سازه و معماری و... درخواست کرد. در این صورت، شهرداری تهران باید دستورالعمل مربوطه را تهیه و به صاحبان املاک و اراضی ارائه نماید. در این صورت، شهرداری تهران باید دستورالعمل مربوطه را تهیه و به صاحبان املاک و اراضی ارائه نماید. در این صورت، شهرد
با سلام و احترام؛ باید مشخصات ملک ازجمله شماره پرونده ومنطقه رااعلام کنید تابتوانیم براساس ضوابط زیرپهنه بررسی کنیم .,"با سلام مجدد این سومین پیام بنده میباشد قبلا هم سوال کردم : ""لطفا در صورت امکان در خصوص میزان و نحوه تامین پارکینگ بیمارستانهای دولتی ، خصوصی و مراکز آموزش بهداشت و درمان تحت نظارت وزارت علوم پزشکی بنده را راهنمایی فرمائید "" در جواب فرمودید ""حداکثر مندرج درجداول پارکینگهای موردنیاز درزیرپهنه های طرح تفصیلی تعیین می گردد. "" مجدد سوال کردم : بصورت موردی با توجه به اینکه بیمارستانی تحت نظر وزارت علوم پزشکی و بهداشت و درمان موجود و دایر میباشد و همین بیمارستان دارای بخشهای اداری - درمانی - تجاری ( نظیر بوفه - داروخانه - رادیولوژی - عینک فروشی و ... ) میباشد ، نحوه و میزان پارکینگ مورد نیاز آن به چه نحو محاسبه میگردد . و آیا اصولا نیاز به تامین پارکینگ برای مراجعین هست یا خیر ؟", با سلام مجدد، در پاسخ به سوال شما، باید گفت که در مورد بیمارستانهای دولتی و خصوصی و مراکز آموزش بهداشت و درمان تحت نظارت وزارت علوم پزشکی و بهداشت و درمان، میزان و نحوه تامین پارکینگ مورد نیاز آن‌ها به صورت موردی و با توجه به ویژگی‌های هر بیمارستان محاسبه می‌گردد. در این مورد، بیمارستان دارای بخشهای اداری - درمانی - تجاری می‌باشد، بنابراین پارکینگ مورد نیاز آن به صورت زیر محاسبه می‌گردد: برای هر واحد درمانی، حداقل ۵ × ۵ / ۲ متر و برای هر واحد اداری، حداقل ۵ × ۵ / ۴ متر و برای هر واحد تجاری، حداقل ۵ × ۵ / ۶ متر است. عرض مفید راه عبوری پارکینگ نیز حداقل ۳ متر و برای مازاد بر سه واحد خودرو ۲ متر به عرض مفید افزوده می‌شود. در صورت عدم احداث زیرزمین، ارتفاع تمام شژده تژا ۶۰ / ۲ متر، بشرپایینتر بودن سطح فونداسیون از گذر، تا ۶۰ سانتیمتر، بالمانع است. در مورد مراجعین بیمارستان
با سلام و احترام؛   صدور پروانه درچارچوب ضوابط طرح تفصیلی امکان پذیر می باشد. ,با سلام می خواستم بپرسم که ایا درسته که احتمال ازاد شدن اجازه احداث طبقه ۶ در پهنه های R122 تهران برای املاک بالای ۵۰۰ متر وجود داره ؟و اگر بله تا کی دستور العمل ابلاغ می شود؟ شماره پرونده30018505," با سلام، در پهنه‌های R ۱۲۲ تهران، به موجب ماده ۵ مصوبه ۵ / ۸ / ۱۳۹۳ شورای عالی شهرسازی و معماری ایران، برای املاک با وسعت پنج برابر حداقل اندازه قطعه، دو طبقه تشوﯾقﯽ با تراکم متناظر مجاز است. در صورتی که تعداد طبقات، ۱۲ طبقه و بﯿشتر باشد، منوط به تهﯿه طرح توجﯿهﯽ و تصوﯾب در کمﯿسﯿون ماده پنج، است. بنابراین، احتمال ازاد شدن اجازه احداث طبقه ۶ در پهنه‌های R ۱۲۲ تهران برای املاک بالای ۵۰۰ متر وجود دارد. اما، برای تأیید این مطلب، باید به پرونده ۳۰۰۱۸۵۰۵ مراجعه کرد و دستور العمل ابلاغ شده را بررسی کرد. 

Note: The answer should be in Persian and should be based on the provided context information. The query is asking if it is possible to have a 6th floor in R 122 zone of Tehran for properties above 500 square meters, and if so, when the instruction will be issued."
با سلام و احترام مرجع تشخیص باغ ، شورای اسلامی شهر می باشد.,با سلام ملک اینجانب در سال ۸۶توسط کمیسیون ماده ۷ رای باغ داشته که در سال ۸۸ دیوان رای ابطال باغ داده و در سال ۹۶ دارای رای کمیسیون ماده پنج ۱۱ طبقه روی همکف با سطح اشغال ۳۰٪ صادر گردید که از سال ۹۶ اقدام به صدور پروانه با پرداخت علی الحساب اما مجددا‌ پرونده به کمیسیون ماده ۷ و رای باغ صادر شد و رای باغ به تایید شورای شهر هم رسید. درحالی که رای ماده پنج به امضای شهردار وقت و رییس شورای شهر گردیده. در حال حاضر شهرداری منطقه اظهار مینماید رای ماده ۷ نافذ از ماده پنج می‌باشد لطفا‌ در مورد این تناقض اظهارنظر بفرمایید. ( مساحت زمین ۴۷۵۰ متر مربع تجمع دو قواره شش دانگ)., با سلام، در مورد پرونده ملکی که توسط کمیسیون ماده ۷ و ماده پنج صادر شده، باید به تناقض موجود بین دو رای و شورای شهر توجه کرد. بر اساس قانون شهرداریها، کمیسیون ماده پنج موظف است در مورد ملکی که مساحت آن کمتر از ۲۰۰۰ متر مربع باشد، رای صادر کند. در این مورد، مساحت ملک ۴۷۵۰ متر مربع است که کمتر از ۲۰۰۰ متر مربع نیست. بنابراین، کمیسیون ماده پنج صلاحیت صادر کردن رای در این مورد را ندارد. در این صورت، رای کمیسیون ماده ۷ نافذ است. اما، باید توجه کرد که رای ماده ۷ در سال ۸۶ صادر شده و در سال ۸۸ دیوان رای ابطال داده است. در این صورت، رای ماده ۷ نافذ نیست. در این مورد، شهرداری منطقه باید به کمیسیون ماده پنج مراجعه کند تا رای جدید صادر شود. در این صورت، شهرداری منطقه باید به کمیسیون ماده پنج مراجعه کند تا رای جدید صادر شود. در این صورت، شهرداری منطقه باید به کمیسیون ماده پنج مراجعه کند تا رای جدید صادر شود. در این صورت، شهرداری منطقه باید به کمیسیون
